State,Vehicle-Miles per Licensed Driver
Alabama,16054
Alaska,9915
Arizona,14493
Arkansas,14974
California,14435
Colorado,13443
Connecticut,11595
Delaware,14802
District of Columbia,10045
Florida,11836
Georgia,18920
Hawaii,11104
Idaho,15318
Illinois,12921
Indiana,17821
Iowa,15074
Kansas,14742
Kentucky,17370
Louisiana,14805
Maine,15420
Maryland,14834
Massachusetts,11759
Michigan,14121
Minnesota,17887
Mississippi,17699
Missouri,17396
Montana,14556
Nebraska,15128
Nevada,12869
New Hampshire,12931
New Jersey,11927
New Mexico,18369
New York,11871
North Carolina,15729
North Dakota,15725
Ohio,12906
Oklahoma,18891
Oregon,14032
Pennsylvania,12435
Rhode Island,12781
South Carolina,16020
South Dakota,15505
Tennessee,15462
Texas,16347
Utah,15442
Vermont,13458
Virginia,15464
Washington,12837
West Virginia,14283
Wisconsin,15188
Wyoming,21821
